# wavelength[A] tau flux flux_error
3.071990e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072010e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072020e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072030e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072040e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072050e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072060e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072070e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072080e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072090e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072100e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072110e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072120e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072130e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072140e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072150e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072160e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072170e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072180e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072190e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072210e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072220e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072230e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072240e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072250e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072260e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072270e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072280e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072290e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072300e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072310e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072320e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072330e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072340e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072350e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072360e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072370e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072380e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072390e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072410e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072420e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072430e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072440e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072450e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072460e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072470e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072480e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072490e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072500e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072510e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072520e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072530e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072540e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072550e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072560e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072570e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072580e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072590e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072610e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072620e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072630e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072640e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072650e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072660e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072670e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072680e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072690e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072700e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072710e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072720e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072730e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072740e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072750e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072760e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072770e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072780e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072790e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072810e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072820e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072830e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072840e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072850e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072860e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072870e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072880e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072890e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072900e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072910e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072920e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072930e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072940e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072950e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072960e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072970e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072980e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.072990e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073010e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073020e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073030e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073040e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073050e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073060e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073070e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073080e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073090e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073100e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073110e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073120e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073130e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073140e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073150e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073160e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073170e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073180e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073190e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073210e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073220e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073230e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073240e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073250e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073260e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073270e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073280e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073290e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073300e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073310e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073320e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073330e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073340e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073350e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073360e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073370e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073380e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073390e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073410e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073420e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073430e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073440e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073450e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073460e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073470e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073480e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073490e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073500e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073510e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073520e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073530e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073540e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073550e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073560e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073570e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073580e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073590e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073610e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073620e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073630e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073640e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073650e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073660e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073670e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073680e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073690e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073700e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073710e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.073720e+03 0.000000e+00 1.000000e+00 1.000000e-01
