# wavelength[A] tau flux flux_error
5.567990e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568000e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568010e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568020e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568030e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568040e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568050e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568060e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568070e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568080e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568090e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568100e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568110e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568120e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568130e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568140e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568150e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568160e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568170e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568180e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568190e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568200e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568210e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568220e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568230e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568240e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568250e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568260e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568270e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568280e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568290e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568300e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568310e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568320e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568330e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568340e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568350e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568360e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568370e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568380e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568390e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568400e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568410e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568420e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568430e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568440e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568450e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568460e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568470e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568480e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568490e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568500e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568510e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568520e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568530e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568540e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568550e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568560e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568570e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568580e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568590e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568600e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568610e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568620e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568630e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568640e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568650e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568660e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568670e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568680e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568690e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568700e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568710e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568720e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568730e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568740e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568750e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568760e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568770e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568780e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568790e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568800e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568810e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568820e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568830e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568840e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568850e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568860e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568870e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568880e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568890e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568900e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568910e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568920e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568930e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568940e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568950e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568960e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568970e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568980e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.568990e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569000e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569010e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569020e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569030e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569040e+03 0.000000e+00 1.000000e+00 1.000000e-01
