# wavelength[A] tau flux flux_error
1.898420e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898430e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898440e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898450e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898460e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898470e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898480e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898490e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898500e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898510e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898520e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898530e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898540e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898550e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898560e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898570e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898580e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898590e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898600e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898610e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898620e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898630e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898640e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898650e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898660e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898670e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898680e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898690e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898700e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898710e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898720e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898730e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898740e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898750e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898760e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898770e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898780e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898790e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898800e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898810e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898820e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898830e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898840e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898850e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898860e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898870e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898880e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898890e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898900e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898910e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898920e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898930e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898940e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898950e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898960e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898970e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898980e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.898990e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.899100e+03 0.000000e+00 1.000000e+00 1.000000e-01
